Date,Close,Open,High,Low, Volume ,Change
3/2/20,110.67,109.58,110.77,108.15," 78,120 ",0.99%
3/3/20,112.58,110.86,113.40,110.78," 78,360 ",1.73%
3/4/20,114.02,112.60,114.02,111.81," 87,830 ",1.28%
3/5/20,115.03,114.03,116.67,114.03," 110,890 ",0.89%
3/6/20,113.66,115.03,115.03,112.88," 50,490 ",-1.19%
3/9/20,106.34,113.64,113.64,105.75," 54,700 ",-6.44%
3/10/20,106.20,104.87,108.25,103.35," 62,290 ",-0.13%
3/11/20,105.52,106.20,107.97,102.50," 71,620 ",-0.64%
3/12/20,101.92,105.54,105.54,100.54," 74,710 ",-3.41%
3/13/20,101.38,101.99,102.24,97.07," 84,570 ",-0.53%
3/16/20,99.62,101.40,101.85,98.90," 40,690 ",-1.74%
3/17/20,100.72,99.64,101.05,96.79," 47,420 ",1.10%
3/18/20,101.84,100.75,102.55,100.64," 66,000 ",1.11%
3/19/20,100.99,101.84,101.96,99.83," 87,550 ",-0.83%
3/20/20,101.79,101.03,104.69,100.31," 50,030 ",0.79%
3/23/20,96.46,101.52,101.52,96.08," 64,720 ",-5.24%
3/24/20,96.95,96.45,97.37,95.90," 51,420 ",0.51%
3/25/20,100.09,97.01,100.44,96.99," 42,910 ",3.24%
3/26/20,97.81,100.07,100.30,97.66," 40,970 ",-2.28%
3/27/20,97.35,97.85,98.32,96.39," 40,600 ",-0.47%
3/30/20,93.28,97.30,97.30,92.65," 39,710 ",-4.18%
3/31/20,92.64,93.06,94.98,91.58," 49,580 ",-0.69%
4/1/20,95.61,92.42,95.91,92.21," 32,710 ",3.21%
4/3/20,97.84,95.62,98.17,94.81," 44,070 ",2.33%
4/6/20,103.26,98.10,103.26,97.96," 61,220 ",5.54%
4/7/20,103.43,103.43,104.21,102.02," 56,480 ",0.16%
4/8/20,103.93,103.16,103.93,101.60," 41,280 ",0.48%
4/9/20,105.08,107.14,107.20,103.65," 48,030 ",1.11%
4/10/20,106.18,105.08,107.33,101.58," 49,910 ",1.05%
4/13/20,107.16,106.20,108.02,103.10," 35,850 ",0.92%
4/14/20,107.15,107.16,107.45,105.66," 50,340 ",-0.01%
4/15/20,108.33,107.15,108.90,106.78," 48,850 ",1.10%
4/16/20,108.75,108.33,108.76,107.27," 37,400 ",0.39%
4/17/20,110.46,108.73,110.61,108.18," 51,250 ",1.57%
4/20/20,109.68,110.48,111.27,109.66," 67,800 ",-0.71%
4/21/20,104.70,109.70,109.72,104.40," 73,160 ",-4.54%
4/22/20,106.80,104.71,107.28,102.28," 44,260 ",2.01%
4/23/20,106.97,106.78,108.57,106.50," 47,110 ",0.16%
4/24/20,106.97,106.99,107.12,105.92," 43,450 ",0.00%
4/27/20,106.30,106.98,107.59,105.92," 37,760 ",-0.63%
4/28/20,106.26,106.30,106.68,104.89," 40,490 ",-0.04%
4/29/20,106.84,106.30,106.85,105.90," 47,880 ",0.55%
