Date,Close,Open,High,Low, Volume ,Change
3/2/20,884.43,878.43,886.45,877.31," 206,640 ",0.25%
3/3/20,890.61,895.39,896.39,890.06," 212,740 ",0.70%
3/4/20,889.37,887.85,889.85,882.83," 238,450 ",-0.14%
3/5/20,893.31,892.71,898.43,891.20," 231,340 ",0.44%
3/6/20,891.44,888.96,891.44,882.71," 214,340 ",-0.21%
3/9/20,835.49,875.80,875.80,834.67," 309,100 ",-6.28%
3/10/20,837.50,813.83,843.28,806.63," 298,020 ",0.24%
3/11/20,811.35,843.52,844.94,794.54," 318,570 ",-3.12%
3/12/20,769.25,778.06,778.06,762.12," 339,230 ",-5.19%
3/13/20,761.78,750.56,764.69,723.42," 354,710 ",-0.97%
3/16/20,747.86,758.28,758.59,737.58," 292,250 ",-1.83%
3/17/20,745.78,724.07,750.03,721.84," 287,280 ",-0.28%
3/18/20,747.66,747.40,752.65,742.12," 259,020 ",0.25%
3/19/20,725.94,732.35,733.43,714.02," 353,390 ",-2.91%
3/20/20,709.73,728.55,729.35,709.73," 230,590 ",-2.23%
3/23/20,666.59,694.77,694.77,664.23," 280,250 ",-6.08%
3/24/20,659.21,666.59,666.59,652.27," 245,150 ",-1.11%
3/25/20,690.25,669.76,690.25,667.58," 270,180 ",4.71%
3/26/20,694.21,689.00,700.76,680.10," 221,850 ",0.57%
3/27/20,696.06,692.54,703.22,682.52," 327,990 ",0.27%
3/30/20,662.26,663.91,665.56,657.36," 233,100 ",-4.86%
3/31/20,662.53,669.74,678.64,649.10," 262,790 ",0.04%
4/1/20,680.23,658.80,684.96,657.41," 267,020 ",2.67%
4/3/20,701.80,687.92,701.80,687.92," 233,090 ",3.17%
4/6/20,736.75,716.22,736.75,715.39," 334,900 ",4.98%
4/7/20,746.69,744.97,749.13,730.28," 292,970 ",1.35%
4/8/20,748.02,740.03,748.36,730.12," 252,290 ",0.18%
4/9/20,760.33,751.08,765.87,751.08," 298,470 ",1.65%
4/10/20,757.94,759.08,764.36,751.59," 338,400 ",-0.31%
4/13/20,765.79,762.99,774.62,762.53," 235,280 ",1.04%
4/14/20,767.41,769.01,769.53,753.85," 266,780 ",0.21%
4/15/20,777.22,768.05,779.52,768.01," 302,620 ",1.28%
4/16/20,780.70,773.11,781.06,770.91," 250,940 ",0.45%
4/17/20,789.60,786.96,790.95,783.74," 309,860 ",0.45%
4/20/20,794.97,796.17,797.49,786.73," 336,050 ",0.45%
4/21/20,766.84,794.97,794.97,761.96," 397,400 ",0.45%
4/22/20,768.92,752.80,774.94,749.97," 253,440 ",0.45%
4/23/20,773.91,768.92,785.60,768.92," 205,800 ",0.45%
4/24/20,776.66,777.28,778.30,767.31," 262,270 ",0.45%
4/27/20,770.77,780.65,785.74,770.77," 307,360 ",0.45%
4/28/20,767.21,773.31,776.13,763.66," 219,400 ",0.45%
4/29/20,769.11,768.59,772.62,768.19," 250,080 ",0.45%
